"subind","runnum","group","N","go_rt_med","go_rt_sd","go_acc","go_error","go_omit"
"ldrc2_0_123_second","2","A2_second",128,0.745666,0.120109471126885,0.802083333333333,0.0104166666666667,0.1875
"ldrc2_0_124_second","1","A2_second",128,0.706355,0.117932330298513,0.989583333333333,0.0104166666666667,0
"ldrc2_0_124_second","2","A2_second",128,0.6291085,0.118452238131351,0.958333333333333,0.0104166666666667,0.03125
"ldrc2_0_137_second","1","A2_second",128,0.598496,0.148079985898661,0.947916666666667,0.03125,0.0208333333333333
"ldrc2_0_137_second","2","A2_second",128,0.5978765,0.151858610015808,0.854166666666667,0.0520833333333333,0.09375
"ldrc2_0_140_second","1","A2_second",128,0.682078,0.131796110679855,0.9375,0.0208333333333333,0.0416666666666667
"ldrc2_0_140_second","2","A2_second",128,0.66876,0.116395890380166,0.885416666666667,0.0416666666666667,0.0729166666666667
"ldrc2_0_143_second","1","A2_second",128,0.67366,0.148958156910109,0.875,0.0104166666666667,0.114583333333333
"ldrc2_0_143_second","2","A2_second",128,0.703208,0.14510812927596,0.78125,0.0208333333333333,0.197916666666667
"ldrc2_0_145_second","1","A2_second",128,0.643753,0.174287455005464,0.895833333333333,0,0.104166666666667
"ldrc2_0_145_second","2","A2_second",128,0.6033545,0.147336952565458,0.833333333333333,0,0.166666666666667
"ldrc2_1_115_second","1","A2_second",128,0.674424,0.127985411288442,0.822916666666667,0,0.177083333333333
"ldrc2_1_125_second","1","A2_second",128,0.7022745,0.17151642454475,0.75,0.0104166666666667,0.239583333333333
"ldrc2_1_129_second","1","A2_second",128,0.6840995,0.177894066312139,0.916666666666667,0.0104166666666667,0.0729166666666667
"ldrc2_1_129_second","2","A2_second",128,0.696292,0.163499035659123,0.84375,0.0208333333333333,0.135416666666667
"ldrc2_1_133_second","1","A2_second",128,0.55991,0.137613770861303,0.90625,0.0625,0.03125
"ldrc2_1_133_second","2","A2_second",128,0.608598,0.169726402527502,0.895833333333333,0.0208333333333333,0.0833333333333333
"ldrc2_1_141_second","1","A2_second",128,0.577469,0.135302215854787,0.760416666666667,0.0208333333333333,0.21875
"ldrc2_1_141_second","2","A2_second",128,0.629235,0.12635684492414,0.927083333333333,0.0104166666666667,0.0625
"ldrc3_0_197","1","A3_first",128,0.641681,0.149564858427611,0.78125,0.0729166666666667,0.145833333333333
"ldrc3_0_202","1","A3_first",128,0.60373,0.149739803992102,0.875,0.0520833333333333,0.0729166666666667
"ldrc3_0_202","2","A3_first",128,0.557588,0.145830868642935,0.947916666666667,0.0104166666666667,0.0416666666666667
"ldrc3_0_216","1","A3_first",128,0.811902,0.134147334359518,0.802083333333333,0.0104166666666667,0.1875
"ldrc3_0_216","2","A3_first",128,0.7274825,0.122383433868936,0.791666666666667,0.0104166666666667,0.197916666666667
"ldrc3_0_217","1","A3_first",128,0.731047,0.154172606914097,0.822916666666667,0.0208333333333333,0.15625
"ldrc3_0_217","2","A3_first",128,0.791751,0.1584553617889,0.78125,0.0208333333333333,0.197916666666667
"ldrc3_0_219","1","A3_first",128,0.570679,0.126443963903688,0.927083333333333,0.0104166666666667,0.0625
"ldrc3_0_219","2","A3_first",128,0.566137,0.135509148571719,0.885416666666667,0.0520833333333333,0.0625
"ldrc3_0_234","1","A3_first",128,0.661122,0.172075858091882,0.947916666666667,0,0.0520833333333333
"ldrc3_0_234","2","A3_first",128,0.6283485,0.147179513880158,0.958333333333333,0,0.0416666666666667
