"subind","cond_type","groups","city","sense","active","ID","subtype","N","rt_mean","acc_mean"
"2436","passive_ns","H_control_second","houston","nonsense","passive","c","c",3,3.52251324980667,0.916666666666667
"2436","passive_s","H_control_second","houston","sense","passive","c","c",3,4.07669723397667,0.75
"2569_2","active_ns","H_second","houston","nonsense","active","2","i",3,5.25659647287,0.791666666666667
"2569_2","active_ns","H_third","houston","nonsense","active","2","i",3,5.10405662623833,0.916666666666667
"2569_2","active_s","H_second","houston","sense","active","2","i",3,4.06355873159167,0.875
"2569_2","active_s","H_third","houston","sense","active","2","i",3,3.63076793599833,0.916666666666667
"2569_2","passive_ns","H_second","houston","nonsense","passive","2","i",3,6.018074678105,0.625
"2569_2","passive_ns","H_third","houston","nonsense","passive","2","i",3,4.84886378483,0.875
"2569_2","passive_s","H_second","houston","sense","passive","2","i",3,6.03728011427833,0.75
"2569_2","passive_s","H_third","houston","sense","passive","2","i",3,3.95970676431667,0.875
"3795","active_ns","H_control_first","houston","nonsense","active","c","c",3,3.986107867885,0.875
"3795","active_ns","H_control_second","houston","nonsense","active","c","c",1,3.61450508055,0.75
"3795","active_s","H_control_first","houston","sense","active","c","c",3,3.61372373465167,0.916666666666667
"3795","active_s","H_control_second","houston","sense","active","c","c",1,2.853253175615,0.5
"3795","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,4.14372425751833,0.833333333333333
"3795","passive_ns","H_control_second","houston","nonsense","passive","c","c",1,3.22674577339,0.875
"3795","passive_s","H_control_first","houston","sense","passive","c","c",3,4.22220371773167,0.875
"3795","passive_s","H_control_second","houston","sense","passive","c","c",1,3.00988768147,0.375
"3824","active_ns","H_control_first","houston","nonsense","active","c","c",3,4.75858628083667,0.875
"3824","active_ns","H_control_second","houston","nonsense","active","c","c",3,4.279586863375,0.958333333333333
"3824","active_s","H_control_first","houston","sense","active","c","c",3,4.72099807699,0.958333333333333
"3824","active_s","H_control_second","houston","sense","active","c","c",3,3.90802296260167,0.875
"3824","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,5.54291892522667,1
"3824","passive_ns","H_control_second","houston","nonsense","passive","c","c",3,4.88362569333,0.958333333333333
"3824","passive_s","H_control_first","houston","sense","passive","c","c",3,5.17246368623,0.833333333333333
"3824","passive_s","H_control_second","houston","sense","passive","c","c",3,4.49226236432,0.916666666666667
"6321","active_ns","H_control_first","houston","nonsense","active","c","c",3,3.18666508357667,0.875
"6321","active_s","H_control_first","houston","sense","active","c","c",3,3.35670970903667,0.833333333333333
"6321","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,4.27794385724167,0.791666666666667
"6321","passive_s","H_control_first","houston","sense","passive","c","c",3,4.16421643486333,0.75
"6741","active_ns","H_control_first","houston","nonsense","active","c","c",3,3.54709755396833,1
"6741","active_ns","H_control_second","houston","nonsense","active","c","c",3,4.13926228084333,1
"6741","active_s","H_control_first","houston","sense","active","c","c",3,3.34484892234833,0.791666666666667
"6741","active_s","H_control_second","houston","sense","active","c","c",3,3.302687315755,0.958333333333333
"6741","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,3.97432557711833,0.958333333333333
"6741","passive_ns","H_control_second","houston","nonsense","passive","c","c",3,4.49656074632,1
"6741","passive_s","H_control_first","houston","sense","passive","c","c",3,3.51901412281333,0.916666666666667
"6741","passive_s","H_control_second","houston","sense","passive","c","c",3,4.16121168251833,1
"8957","active_ns","H_control_first","houston","nonsense","active","c","c",3,4.86081906951167,0.791666666666667
"8957","active_s","H_control_first","houston","sense","active","c","c",3,5.28792301033167,0.625
"8957","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,5.81257356465333,0.791666666666667
"8957","passive_s","H_control_first","houston","sense","passive","c","c",3,5.70632134791833,0.416666666666667
"8960","active_ns","H_control_first","houston","nonsense","active","c","c",3,5.65151506770167,0.791666666666667
"8960","active_ns","H_control_second","houston","nonsense","active","c","c",3,3.87940611066333,0.916666666666667
"8960","active_ns","H_control_third","houston","nonsense","active","c","c",3,5.096736623905,0.875
"8960","active_s","H_control_first","houston","sense","active","c","c",3,4.27899417121667,0.791666666666667
"8960","active_s","H_control_second","houston","sense","active","c","c",3,4.08959659114333,0.666666666666667
"8960","active_s","H_control_third","houston","sense","active","c","c",3,4.18192892696167,0.833333333333333
"8960","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,6.95078110924,0.958333333333333
"8960","passive_ns","H_control_second","houston","nonsense","passive","c","c",3,3.766547420455,1
"8960","passive_ns","H_control_third","houston","nonsense","passive","c","c",3,4.93418445757833,0.708333333333333
"8960","passive_s","H_control_first","houston","sense","passive","c","c",3,4.58444223266333,0.708333333333333
"8960","passive_s","H_control_second","houston","sense","passive","c","c",3,4.29039040688333,0.666666666666667
"8960","passive_s","H_control_third","houston","sense","passive","c","c",3,4.603695997555,0.75
"8961","active_ns","H_control_first","houston","nonsense","active","c","c",3,3.30426329941667,1
"8961","active_ns","H_control_second","houston","nonsense","active","c","c",3,2.68578195038833,1
"8961","active_ns","H_control_third","houston","nonsense","active","c","c",3,3.25902024567667,0.791666666666667
"8961","active_s","H_control_first","houston","sense","active","c","c",3,2.47197518552,0.916666666666667
"8961","active_s","H_control_second","houston","sense","active","c","c",3,2.253358162465,0.958333333333333
"8961","active_s","H_control_third","houston","sense","active","c","c",3,2.58553460188167,0.75
"8961","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,3.55367160986,1
"8961","passive_ns","H_control_second","houston","nonsense","passive","c","c",3,2.78711515306667,1
"8961","passive_ns","H_control_third","houston","nonsense","passive","c","c",3,3.43776404192333,0.708333333333333
"8961","passive_s","H_control_first","houston","sense","passive","c","c",3,3.09467296327167,0.833333333333333
"8961","passive_s","H_control_second","houston","sense","passive","c","c",3,2.841387062355,0.791666666666667
"8961","passive_s","H_control_third","houston","sense","passive","c","c",3,3.27975428239,0.625
"8962","active_ns","H_control_first","houston","nonsense","active","c","c",3,2.24463901961667,0.916666666666667
"8962","active_ns","H_control_second","houston","nonsense","active","c","c",3,2.39184740084,0.958333333333333
"8962","active_s","H_control_first","houston","sense","active","c","c",3,2.52714920922833,0.833333333333333
"8962","active_s","H_control_second","houston","sense","active","c","c",3,1.92809650377,0.958333333333333
"8962","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,3.02647758443167,0.875
"8962","passive_ns","H_control_second","houston","nonsense","passive","c","c",3,2.54179450190833,0.958333333333333
"8962","passive_s","H_control_first","houston","sense","passive","c","c",3,3.227411866615,0.916666666666667
"8962","passive_s","H_control_second","houston","sense","passive","c","c",3,2.14874675036833,0.916666666666667
"8963","active_ns","H_control_first","houston","nonsense","active","c","c",3,3.23364680214,0.958333333333333
"8963","active_ns","H_control_second","houston","nonsense","active","c","c",3,3.764564451015,0.958333333333333
"8963","active_ns","H_control_third","houston","nonsense","active","c","c",3,2.98846037438,0.958333333333333
"8963","active_s","H_control_first","houston","sense","active","c","c",3,3.10090433268,1
"8963","active_s","H_control_second","houston","sense","active","c","c",3,3.70099829429167,0.958333333333333
"8963","active_s","H_control_third","houston","sense","active","c","c",3,2.80087278984167,1
"8963","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,3.77151560146167,0.875
"8963","passive_ns","H_control_second","houston","nonsense","passive","c","c",3,4.48648645267,0.958333333333333
"8963","passive_ns","H_control_third","houston","nonsense","passive","c","c",3,3.176545478635,0.958333333333333
"8963","passive_s","H_control_first","houston","sense","passive","c","c",3,3.84903107306833,0.958333333333333
"8963","passive_s","H_control_second","houston","sense","passive","c","c",3,3.65666370463,0.916666666666667
"8963","passive_s","H_control_third","houston","sense","passive","c","c",3,2.56709133974833,0.958333333333333
"8964","active_ns","H_control_second","houston","nonsense","active","c","c",2,3.7980975376925,1
"8964","active_s","H_control_second","houston","sense","active","c","c",2,3.3795314313825,0.6875
"8964","passive_ns","H_control_second","houston","nonsense","passive","c","c",2,4.61828651954,0.625
"8964","passive_s","H_control_second","houston","sense","passive","c","c",2,4.4205564235,0.375
"8965","active_ns","H_control_first","houston","nonsense","active","c","c",3,3.95708999994,1
"8965","active_s","H_control_first","houston","sense","active","c","c",3,3.69986252573667,1
"8965","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,4.39185116639667,1
"8965","passive_s","H_control_first","houston","sense","passive","c","c",3,4.58191499618,0.958333333333333
"8967","active_ns","H_control_second","houston","nonsense","active","c","c",3,3.00498335195,1
"8967","active_s","H_control_second","houston","sense","active","c","c",3,2.97367558737667,0.875
"8967","passive_ns","H_control_second","houston","nonsense","passive","c","c",3,3.55791165318667,1
"8967","passive_s","H_control_second","houston","sense","passive","c","c",3,3.04727299523,0.958333333333333
"8972","active_ns","H_control_first","houston","nonsense","active","c","c",3,3.14858770813333,0.958333333333333
"8972","active_ns","H_control_second","houston","nonsense","active","c","c",3,3.646023451055,1
"8972","active_s","H_control_first","houston","sense","active","c","c",3,3.53833817087667,0.791666666666667
"8972","active_s","H_control_second","houston","sense","active","c","c",3,3.29716947832667,0.875
"8972","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,3.81724470919167,0.958333333333333
"8972","passive_ns","H_control_second","houston","nonsense","passive","c","c",3,4.18807924333167,0.791666666666667
"8972","passive_s","H_control_first","houston","sense","passive","c","c",3,3.72796328944667,0.833333333333333
"8972","passive_s","H_control_second","houston","sense","passive","c","c",3,3.84374891342667,0.791666666666667
