"subind","runnum","group","N","rt_median","acc_avg"
"H_LDFHO2479_1_third","1","H_third",32,4.79001212213,0.90625
"H_LDFHO2479_1_third","2","H_third",32,4.00838750362,0.96875
"H_LDFHO2479_1_third","3","H_third",32,4.43481667449,0.71875
"H_LDFHO2569_2_third","1","H_third",32,4.68995348668,0.90625
"H_LDFHO2569_2_third","3","H_third",32,3.83316725197,0.90625
"H_LDFHO2798_1_third","2","H_third",32,5.51909130169,0.65625
"LDFHO10238_1","1","H2_first",32,4.71075531891,0.71875
"LDFHO10297_1","1","H2_first",32,4.0882080897,0.875
"LDFHO10297_1","2","H2_first",32,3.85386892732,0.84375
"LDFHO10328_1","1","H2_first",32,3.92344645258,0.84375
"LDFHO10328_1","2","H2_first",32,4.39017665474,0.71875
"LDFHO10328_1","3","H2_first",32,3.9931121433,0.71875
"LDFHO10493_1","1","H2_first",32,3.67346154196,0.90625
"LDFHO10493_1","2","H2_first",32,3.116452193205,0.9375
"/LDFHO1794_1","1","H2_first",32,4.694954103065,0.75
"/LDFHO1794_1","2","H2_first",32,5.30774020818,0.65625
"/LDFHO5782_1","1","H2_first",32,4.49434223632,0.71875
"/LDFHO5782_1","2","H2_first",32,3.5302821434,0.84375
"/LDFHO5782_1","3","H2_first",32,3.677057836455,0.6875
"/LDFHO9087_1","2","H2_first",32,3.05441940609,0.90625
"/LDFHO9087_1","3","H2_first",32,2.53715906132,0.9375
"LDFHO10238_1_second","1","H2_second",32,4.419506195085,0.75
"LDFHO10328_1_second","2","H2_second",32,3.940496651795,0.625
"LDFHO10378_1_second","1","H2_second",32,5.020934704695,0.9375
"LDFHO10378_1_second","2","H2_second",32,4.60109280549,0.90625
"LDFHO10378_1_second","3","H2_second",32,4.068103181575,0.9375
"LDFHO10493_1_second","1","H2_second",32,3.86468501338,0.96875
"LDFHO10493_1_second","2","H2_second",32,3.91847105219,0.90625
"LDFHO10493_1_second","3","H2_second",32,3.073762197655,1
"LDFHO10743_1_second","1","H2_second",32,5.08390111375,0.65625
"LDFHO10942_1_second","1","H2_second",32,4.04569366288,0.96875
"LDFHO10942_1_second","2","H2_second",32,3.49863842794,0.96875
"LDFHO10942_1_second","3","H2_second",32,3.35088138676,0.96875
"LDFHO12307_1_second","1","H2_second",32,4.57496607897,0.78125
"LDFHO12307_1_second","2","H2_second",32,4.324117164085,0.875
"LDFHO12307_1_second","3","H2_second",32,3.79366923257,0.78125
"/LDFHO1794_1_second","1","H2_second",32,4.63882700923,0.71875
"/LDFHO1794_1_second","2","H2_second",32,4.596137813535,0.875
"/LDFHO9085_0_second","1","H2_second",32,4.398498483545,0.8125
"/LDFHO9087_1_second","1","H2_second",32,3.151330125285,0.875
"/LDFHO9087_1_second","2","H2_second",32,2.86719885639,0.84375
"/LDFHO9087_1_second","3","H2_second",32,2.433227035,0.96875
