"subind","runnum","first","cond_type","N","rt_median","acc_avg","groups"
"2_005_second","3",1,"passive_s",8,3.710231900215,0.75,"A_second"
"2_008_second","1",1,"active_ns",8,4.85411989689,1,"A_second"
"2_008_second","1",1,"active_s",8,4.504936099055,0.75,"A_second"
"2_008_second","1",1,"passive_ns",8,4.61045861244,1,"A_second"
"2_008_second","1",1,"passive_s",8,3.87952208519,0.875,"A_second"
"2_008_second","2",1,"active_ns",8,4.411953926085,1,"A_second"
"2_008_second","2",1,"active_s",8,4.503236413005,1,"A_second"
"2_008_second","2",1,"passive_ns",8,4.90872454643,1,"A_second"
"2_008_second","2",1,"passive_s",8,5.01122808456,0.875,"A_second"
"2_008_second","3",1,"active_ns",8,4.52401399612,0.875,"A_second"
"2_008_second","3",1,"active_s",8,4.14480185509,0.875,"A_second"
"2_008_second","3",1,"passive_ns",8,3.778313994405,0.75,"A_second"
"2_008_second","3",1,"passive_s",8,4.049516558645,1,"A_second"
"2_010_second","1",1,"active_ns",8,4.65912950039,1,"A_second"
"2_010_second","1",1,"active_s",8,3.79842400551,0.875,"A_second"
"2_010_second","1",1,"passive_ns",8,5.172360897065,1,"A_second"
"2_010_second","1",1,"passive_s",8,4.09319639206,0.75,"A_second"
"2_010_second","2",1,"active_ns",8,5.24396502972,1,"A_second"
"2_010_second","2",1,"active_s",8,3.95225095749,0.875,"A_second"
"2_010_second","2",1,"passive_ns",8,3.83544206619,0.875,"A_second"
"2_010_second","2",1,"passive_s",8,4.18522894382,0.75,"A_second"
"2_010_second","3",1,"active_ns",8,4.97418355942,1,"A_second"
"2_010_second","3",1,"active_s",8,6.05037021637,0.625,"A_second"
"2_010_second","3",1,"passive_ns",8,5.12670314312,0.75,"A_second"
"2_010_second","3",1,"passive_s",8,5.12463498116,0.625,"A_second"
"2_031_second","1",1,"active_ns",8,3.831683039665,1,"A_second"
"2_031_second","1",1,"active_s",8,3.41080403328,0.875,"A_second"
"2_031_second","1",1,"passive_ns",8,3.42031645775,1,"A_second"
"2_031_second","1",1,"passive_s",8,3.94928753376,1,"A_second"
"2_031_second","2",1,"active_ns",8,3.544869542125,1,"A_second"
"2_031_second","2",1,"active_s",8,4.178224563595,0.75,"A_second"
"2_031_second","2",1,"passive_ns",8,4.344319939615,1,"A_second"
"2_031_second","2",1,"passive_s",8,4.108020424845,0.75,"A_second"
"2_034_second","1",1,"active_ns",8,4.93563890457,0.875,"A_second"
"2_034_second","1",1,"active_s",8,4.50303506851,0.875,"A_second"
"2_034_second","1",1,"passive_ns",8,6.293463110925,1,"A_second"
"2_034_second","1",1,"passive_s",8,4.25553894043,0.25,"A_second"
"2_034_second","2",1,"active_ns",8,4.69217991829,0.625,"A_second"
"2_034_second","2",1,"active_s",8,4.809054851535,0.5,"A_second"
"2_034_second","2",1,"passive_ns",8,7.37631702423,1,"A_second"
"2_034_second","2",1,"passive_s",8,5.49980211258,0.625,"A_second"
"2_048_second","1",1,"active_ns",8,5.626482963565,1,"A_second"
"2_048_second","1",1,"active_s",8,4.20352387428,0.875,"A_second"
"2_048_second","1",1,"passive_ns",8,5.639130949975,1,"A_second"
"2_048_second","1",1,"passive_s",8,5.52680802345,1,"A_second"
"2_048_second","3",1,"active_ns",8,5.60871398449,1,"A_second"
"2_048_second","3",1,"active_s",8,4.01200604439,0.875,"A_second"
"2_048_second","3",1,"passive_ns",8,5.45835494995,0.875,"A_second"
"2_048_second","3",1,"passive_s",8,4.95258903503,0.625,"A_second"
"0_013_third","1",1,"active_ns",8,4.41817116737,0.875,"A_third"
"0_013_third","1",1,"active_s",7,3.50642514229,1,"A_third"
