"subind","runnum","cond_type","group","N","rt_median","acc_avg"
"ldrc_1_020_second","2","active_s","A_second",8,5.31038713455,0.625
"ldrc_1_020_second","2","passive_ns","A_second",8,4.41192305088,1
"ldrc_1_020_second","2","passive_s","A_second",8,3.93680477142,0.625
"ldrc_1_020_second","3","active_ns","A_second",8,3.52299296856,1
"ldrc_1_020_second","3","active_s","A_second",8,3.95650053024,0.75
"ldrc_1_020_second","3","passive_ns","A_second",8,4.71573996544,1
"ldrc_1_020_second","3","passive_s","A_second",8,3.95053911209,0.625
"ldrc_1_028_second","1","active_ns","A_second",8,3.95908808708,0.875
"ldrc_1_028_second","1","active_s","A_second",8,2.92739605904,0.625
"ldrc_1_028_second","1","passive_ns","A_second",8,3.71859455109,1
"ldrc_1_028_second","1","passive_s","A_second",8,3.33759593964,0.625
"ldrc_1_028_second","2","active_ns","A_second",8,3.562003970145,1
"ldrc_1_028_second","2","active_s","A_second",8,3.4508459568,0.625
"ldrc_1_028_second","2","passive_ns","A_second",8,3.57983100414,1
"ldrc_1_028_second","2","passive_s","A_second",8,5.461007475855,0.25
"ldrc_1_028_second","3","active_ns","A_second",8,2.98688995838,1
"ldrc_1_028_second","3","active_s","A_second",8,3.10942149162,0.75
"ldrc_1_028_second","3","passive_ns","A_second",8,4.077829003335,1
"ldrc_1_028_second","3","passive_s","A_second",8,3.10608911514,0.625
"ldrc_1_036_second","1","active_ns","A_second",8,4.55477190018,0.875
"ldrc_1_036_second","1","active_s","A_second",8,4.37845802307,0.625
"ldrc_1_036_second","1","passive_ns","A_second",8,5.027557969095,0.75
"ldrc_1_036_second","1","passive_s","A_second",8,5.63963103294,0.625
"ldrc_1_036_second","2","active_ns","A_second",8,4.12209010124,0.875
"ldrc_1_036_second","2","active_s","A_second",8,4.98004758358,0.75
"ldrc_1_036_second","2","passive_ns","A_second",8,4.747050523755,0.75
"ldrc_1_036_second","2","passive_s","A_second",8,5.06709003448,0.375
"ldrc_2_005_second","1","active_ns","A_second",8,5.706655979155,1
"ldrc_2_005_second","1","active_s","A_second",8,4.953849554065,1
"ldrc_2_005_second","1","passive_ns","A_second",8,6.324258565905,1
"ldrc_2_005_second","1","passive_s","A_second",8,4.430275082585,0.75
"ldrc_2_005_second","2","active_ns","A_second",8,4.97142148018,1
"ldrc_2_005_second","2","active_s","A_second",8,4.258825063705,0.75
"ldrc_2_005_second","2","passive_ns","A_second",8,5.56434607506,0.875
"ldrc_2_005_second","2","passive_s","A_second",8,5.87106847763,0.75
"ldrc_2_005_second","3","active_ns","A_second",8,4.35951113701,0.75
"ldrc_2_005_second","3","active_s","A_second",8,2.753447413445,0.75
"ldrc_2_005_second","3","passive_ns","A_second",8,4.44400596619,1
"ldrc_2_005_second","3","passive_s","A_second",8,3.710231900215,0.75
"ldrc_2_008_second","1","active_ns","A_second",8,4.85411989689,1
"ldrc_2_008_second","1","active_s","A_second",8,4.504936099055,0.75
"ldrc_2_008_second","1","passive_ns","A_second",8,4.61045861244,1
"ldrc_2_008_second","1","passive_s","A_second",8,3.87952208519,0.875
"ldrc_2_008_second","2","active_ns","A_second",8,4.411953926085,1
"ldrc_2_008_second","2","active_s","A_second",8,4.503236413005,1
"ldrc_2_008_second","2","passive_ns","A_second",8,4.90872454643,1
"ldrc_2_008_second","2","passive_s","A_second",8,5.01122808456,0.875
"ldrc_2_008_second","3","active_ns","A_second",8,4.52401399612,0.875
"ldrc_2_008_second","3","active_s","A_second",8,4.14480185509,0.875
"ldrc_2_008_second","3","passive_ns","A_second",8,3.778313994405,0.75
"ldrc_2_008_second","3","passive_s","A_second",8,4.049516558645,1
"ldrc_2_010_second","1","active_ns","A_second",8,4.65912950039,1
"ldrc_2_010_second","1","active_s","A_second",8,3.79842400551,0.875
"ldrc_2_010_second","1","passive_ns","A_second",8,5.172360897065,1
"ldrc_2_010_second","1","passive_s","A_second",8,4.09319639206,0.75
"ldrc_2_010_second","2","active_ns","A_second",8,5.24396502972,1
"ldrc_2_010_second","2","active_s","A_second",8,3.95225095749,0.875
"ldrc_2_010_second","2","passive_ns","A_second",8,3.83544206619,0.875
"ldrc_2_010_second","2","passive_s","A_second",8,4.18522894382,0.75
"ldrc_2_010_second","3","active_ns","A_second",8,4.97418355942,1
"ldrc_2_010_second","3","active_s","A_second",8,6.05037021637,0.625
"ldrc_2_010_second","3","passive_ns","A_second",8,5.12670314312,0.75
"ldrc_2_010_second","3","passive_s","A_second",8,5.12463498116,0.625
"ldrc_2_031_second","1","active_ns","A_second",8,3.831683039665,1
"ldrc_2_031_second","1","active_s","A_second",8,3.41080403328,0.875
"ldrc_2_031_second","1","passive_ns","A_second",8,3.42031645775,1
"ldrc_2_031_second","1","passive_s","A_second",8,3.94928753376,1
"ldrc_2_031_second","2","active_ns","A_second",8,3.544869542125,1
"ldrc_2_031_second","2","active_s","A_second",8,4.178224563595,0.75
"ldrc_2_031_second","2","passive_ns","A_second",8,4.344319939615,1
"ldrc_2_031_second","2","passive_s","A_second",8,4.108020424845,0.75
"ldrc_2_034_second","1","active_ns","A_second",8,4.93563890457,0.875
"ldrc_2_034_second","1","active_s","A_second",8,4.50303506851,0.875
"ldrc_2_034_second","1","passive_ns","A_second",8,6.293463110925,1
"ldrc_2_034_second","1","passive_s","A_second",8,4.25553894043,0.25
"ldrc_2_034_second","2","active_ns","A_second",8,4.69217991829,0.625
"ldrc_2_034_second","2","active_s","A_second",8,4.809054851535,0.5
"ldrc_2_034_second","2","passive_ns","A_second",8,7.37631702423,1
"ldrc_2_034_second","2","passive_s","A_second",8,5.49980211258,0.625
"ldrc_2_048_second","1","active_ns","A_second",8,5.626482963565,1
"ldrc_2_048_second","1","active_s","A_second",8,4.20352387428,0.875
"ldrc_2_048_second","1","passive_ns","A_second",8,5.639130949975,1
"ldrc_2_048_second","1","passive_s","A_second",8,5.52680802345,1
"ldrc_2_048_second","3","active_ns","A_second",8,5.60871398449,1
"ldrc_2_048_second","3","active_s","A_second",8,4.01200604439,0.875
"ldrc_2_048_second","3","passive_ns","A_second",8,5.45835494995,0.875
"ldrc_2_048_second","3","passive_s","A_second",8,4.95258903503,0.625
"ldrc_0_013_third","1","active_ns","A_third",8,4.41817116737,0.875
"ldrc_0_013_third","1","active_s","A_third",8,3.68264758587,1
"ldrc_0_013_third","1","passive_ns","A_third",8,3.989727020265,1
"ldrc_0_013_third","1","passive_s","A_third",8,4.20945811272,0.875
"ldrc_0_013_third","2","active_ns","A_third",8,5.60380911827,0.875
"ldrc_0_013_third","2","active_s","A_third",8,3.30904698372,0.625
"ldrc_0_013_third","2","passive_ns","A_third",8,3.25174808502,0.875
"ldrc_0_013_third","2","passive_s","A_third",8,3.92163848877,0.75
"ldrc_0_013_third","3","active_ns","A_third",8,4.84743595123,0.875
"ldrc_0_013_third","3","active_s","A_third",8,3.25606453419,1
"ldrc_0_013_third","3","passive_ns","A_third",8,4.35035395622,0.875
"ldrc_0_013_third","3","passive_s","A_third",8,4.62754106522,0.875
"ldrc_0_026_third","1","active_ns","A_third",8,6.18214404583,1
"ldrc_0_026_third","1","active_s","A_third",8,4.89237654209,1
"ldrc_0_026_third","1","passive_ns","A_third",8,6.59342885017,0.875
"ldrc_0_026_third","1","passive_s","A_third",8,4.96630311012,0.875
"ldrc_0_026_third","2","active_ns","A_third",8,5.13277196884,0.625
"ldrc_0_026_third","2","active_s","A_third",8,5.13049316406,0.875
"ldrc_0_026_third","2","passive_ns","A_third",8,5.03860187531,0.625
"ldrc_0_026_third","2","passive_s","A_third",8,5.64023804665,0.625
"ldrc_0_068_third","2","active_ns","A_third",8,2.95709955692,1
"ldrc_0_068_third","2","active_s","A_third",8,2.77878785133,0.875
"ldrc_0_068_third","2","passive_ns","A_third",8,2.71317100525,1
"ldrc_0_068_third","2","passive_s","A_third",8,3.18485498428,0.625
"ldrc_0_068_third","3","active_ns","A_third",8,2.59819304943,1
"ldrc_0_068_third","3","active_s","A_third",8,2.28188204765,0.875
"ldrc_0_068_third","3","passive_ns","A_third",8,2.738308668135,1
"ldrc_0_068_third","3","passive_s","A_third",8,3.34156143665,1
"ldrc_1_001_third","1","active_ns","A_third",8,3.11904883385,0.875
"ldrc_1_001_third","1","active_s","A_third",8,3.936294674875,1
"ldrc_1_001_third","1","passive_ns","A_third",8,4.31100845337,1
"ldrc_1_001_third","1","passive_s","A_third",8,3.92235398293,0.75
"ldrc_1_001_third","2","active_ns","A_third",8,3.750253915785,1
"ldrc_1_001_third","2","active_s","A_third",8,4.057094573975,1
"ldrc_1_001_third","2","passive_ns","A_third",8,4.25130844116,1
"ldrc_1_001_third","2","passive_s","A_third",8,4.0925359726,0.875
"ldrc_1_001_third","3","active_ns","A_third",8,3.7737749815,1
"ldrc_1_001_third","3","active_s","A_third",8,3.21040892601,0.875
"ldrc_1_001_third","3","passive_ns","A_third",8,4.631487965585,1
"ldrc_1_001_third","3","passive_s","A_third",8,3.49812197685,0.875
"ldrc_1_004_third","1","active_ns","A_third",8,6.251634955405,1
"ldrc_1_004_third","1","active_s","A_third",8,4.40633904934,1
"ldrc_1_004_third","1","passive_ns","A_third",8,6.528796076775,0.5
"ldrc_1_004_third","1","passive_s","A_third",8,5.94393086433,0.875
"ldrc_1_004_third","2","active_ns","A_third",8,4.96659302711,0.625
"ldrc_1_004_third","2","active_s","A_third",8,5.0478489399,0.875
"ldrc_1_004_third","2","passive_ns","A_third",8,6.625447154045,0.5
"ldrc_1_004_third","2","passive_s","A_third",8,6.7733989954,0.75
"ldrc_1_004_third","3","active_ns","A_third",8,5.15248596668,1
"ldrc_1_004_third","3","active_s","A_third",8,6.07548761368,1
"ldrc_1_004_third","3","passive_ns","A_third",8,4.74787402153,1
"ldrc_1_004_third","3","passive_s","A_third",8,6.555986166,0.875
"ldrc_1_007_third","1","active_ns","A_third",8,5.53628015518,0.875
"ldrc_1_007_third","1","active_s","A_third",8,3.92732012272,1
"ldrc_1_007_third","1","passive_ns","A_third",8,4.807587981225,1
"ldrc_1_007_third","1","passive_s","A_third",8,4.26143455505,0.75
"ldrc_1_007_third","2","active_ns","A_third",8,4.06823849678,1
"ldrc_1_007_third","2","active_s","A_third",8,4.43430888653,0.75
"ldrc_1_007_third","2","passive_ns","A_third",8,4.29203557968,0.75
"ldrc_1_007_third","2","passive_s","A_third",8,5.02632689476,0.875
"ldrc_1_007_third","3","active_ns","A_third",8,4.61860752106,1
"ldrc_1_007_third","3","active_s","A_third",8,2.65640246868,1
"ldrc_1_007_third","3","passive_ns","A_third",8,4.171118974685,1
"ldrc_1_007_third","3","passive_s","A_third",8,3.212582945825,0.75
"ldrc_1_036_third","1","active_ns","A_third",8,4.45602297783,0.875
"ldrc_1_036_third","1","active_s","A_third",8,3.871926426885,0.75
"ldrc_1_036_third","1","passive_ns","A_third",8,6.600714564325,0.75
"ldrc_1_036_third","1","passive_s","A_third",8,3.67548251152,1
"ldrc_1_036_third","2","active_ns","A_third",8,4.35080099106,0.875
"ldrc_1_036_third","2","active_s","A_third",8,4.81625199318,0.75
"ldrc_1_036_third","2","passive_ns","A_third",8,4.77400350571,1
"ldrc_1_036_third","2","passive_s","A_third",8,4.53434050083,0.75
"ldrc_1_036_third","3","active_ns","A_third",8,4.24908804893,0.625
"ldrc_1_036_third","3","active_s","A_third",8,3.7930560112,0.875
"ldrc_1_036_third","3","passive_ns","A_third",8,5.49244689941,0.875
"ldrc_1_036_third","3","passive_s","A_third",8,5.024518847465,0.75
"ldrc_2_003_third","1","active_ns","A_third",8,4.13541460037,1
"ldrc_2_003_third","1","active_s","A_third",8,5.07498192787,0.625
"ldrc_2_003_third","1","passive_ns","A_third",8,4.635586977005,1
"ldrc_2_003_third","1","passive_s","A_third",8,4.906324982645,0.75
"ldrc_2_005_third","1","active_ns","A_third",8,4.78257703781,0.875
"ldrc_2_005_third","1","active_s","A_third",8,4.452111959455,1
"ldrc_2_005_third","1","passive_ns","A_third",8,4.43491697311,0.875
"ldrc_2_005_third","1","passive_s","A_third",8,4.58009147644,1
"ldrc_2_005_third","2","active_ns","A_third",8,3.629948973655,0.75
"ldrc_2_005_third","2","active_s","A_third",8,3.37876343727,1
"ldrc_2_005_third","2","passive_ns","A_third",8,4.21745300293,0.875
"ldrc_2_005_third","2","passive_s","A_third",8,4.340675592425,1
"ldrc_2_005_third","3","active_ns","A_third",8,4.82141637802,1
"ldrc_2_005_third","3","active_s","A_third",8,3.35129749775,1
"ldrc_2_005_third","3","passive_ns","A_third",8,5.97280406952,0.625
"ldrc_2_005_third","3","passive_s","A_third",8,4.073196053505,1
"ldrc_2_008_third","1","active_ns","A_third",8,3.47536706924,1
"ldrc_2_008_third","1","active_s","A_third",8,3.966364502905,0.75
