"subind","groups","runnum","first","cond_type","N","rt_median","acc_avg","city","sense","active","ID","subtype","rep","city.sense","city.active","subtype.sense","groups.sense","ID2"
"1_002","A_first","2",1,"passive_ns",8,5.03801047802,0.75,"austin","nonsense","passive","1","i","u","austinnonsense","austinpassive","inonsense","A_firstnonsense","1"
"1_002","A_first","2",1,"passive_s",8,3.67244040966,0.75,"austin","sense","passive","1","i","u","austinsense","austinpassive","isense","A_firstsense","1"
"1_002","A_first","3",1,"active_ns",8,4.32948708534,0.625,"austin","nonsense","active","1","i","u","austinnonsense","austinactive","inonsense","A_firstnonsense","1"
"1_002","A_first","3",1,"active_s",8,4.94821608067,1,"austin","sense","active","1","i","u","austinsense","austinactive","isense","A_firstsense","1"
"1_002","A_first","3",1,"passive_ns",8,5.24784302711,0.875,"austin","nonsense","passive","1","i","u","austinnonsense","austinpassive","inonsense","A_firstnonsense","1"
"1_002","A_first","3",1,"passive_s",8,4.2258695364,0.75,"austin","sense","passive","1","i","u","austinsense","austinpassive","isense","A_firstsense","1"
"1_004","A_first","1",1,"active_ns",8,5.59419846535,0.75,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","1"
"1_004","A_first","1",1,"active_s",8,5.994878053665,0.25,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_firstsense","1"
"1_004","A_first","1",1,"passive_ns",8,5.07044291496,0.625,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","1"
"1_004","A_first","1",1,"passive_s",8,5.67869496346,0.875,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_firstsense","1"
"1_004","A_first","2",1,"active_ns",8,5.63235521317,0.875,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","1"
"1_004","A_first","2",1,"active_s",8,6.20779204369,0.875,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_firstsense","1"
"1_004","A_first","2",1,"passive_ns",8,5.812121152875,0.75,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","1"
"1_004","A_first","2",1,"passive_s",8,5.89725804329,0.375,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_firstsense","1"
"1_004","A_first","3",1,"active_ns",8,4.897605896,0.875,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","1"
"1_004","A_first","3",1,"active_s",8,4.97136998177,0.875,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_firstsense","1"
"1_004","A_first","3",1,"passive_ns",8,6.599580049515,0.5,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","1"
"1_004","A_first","3",1,"passive_s",8,5.600684046745,0.75,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_firstsense","1"
"1_004","A_second","1",1,"active_ns",8,5.644944548605,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_secondnonsense","1"
"1_004","A_second","1",1,"active_s",8,6.54639983177,0.875,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_secondsense","1"
"1_004","A_second","1",1,"passive_ns",8,5.49692106247,0.875,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_secondnonsense","1"
"1_004","A_second","1",1,"passive_s",8,5.999609470365,0.75,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_secondsense","1"
"1_004","A_second","2",1,"active_ns",8,4.28438186646,0.875,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_secondnonsense","1"
"1_004","A_second","2",1,"active_s",8,5.17702507973,0.875,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_secondsense","1"
"1_004","A_second","2",1,"passive_ns",8,6.34195756912,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_secondnonsense","1"
"1_004","A_second","2",1,"passive_s",8,6.09343600273,0.875,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_secondsense","1"
"1_004","A_third","1",1,"active_ns",8,6.251634955405,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","1"
"1_004","A_third","1",1,"active_s",8,4.40633904934,1,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_thirdsense","1"
"1_004","A_third","1",1,"passive_ns",8,6.528796076775,0.5,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","1"
"1_004","A_third","1",1,"passive_s",8,5.94393086433,0.875,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_thirdsense","1"
