"subind","group","N","go_rt_mean","go_rt_sd","go_acc_mean","go_error_mean","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me","group2","ID","ID2","city","rep"
"10394_1","H2_first",1,0.57968,NA,0.885416666666667,0.03125,0.5,0.5,0.34375,0.34375,0.203125,0.57968,0.376555,"first","1","1","houston","u"
"10452_1","H2_first",2,0.54687175,0.02843725,0.848958333333333,0.0572916666666667,0.515625,0.484375,0.453125,0.453125,0.353125,0.53309771875,0.17997271875,"first","1","1","houston","u"
"10493_1","H2_first",2,0.5599335,0.00389149999999999,0.947916666666667,0.0208333333333333,0.53125,0.46875,0.46875,0.46875,0.353125,0.552704578125,0.199579578125,"first","1","1","houston","r"
"12307_1","H2_first",1,0.690834,NA,0.864583333333333,0.03125,0.53125,0.46875,0.46875,0.46875,0.35625,0.681522125,0.325272125,"first","1","1","houston","r"
"O1794_1","H2_first",1,0.6168465,NA,0.75,0.0416666666666667,0.5,0.5,0.5,0.5,0.321875,0.6168465,0.2949715,"first","O","O","houston","r"
"O5782_1","H2_first",2,0.66205925,0.00339774999999998,0.744791666666667,0.0520833333333333,0.59375,0.40625,0.390625,0.390625,0.45,0.638281484375,0.188281484375,"first","O","O","houston","u"
"O6598_0","H2_first",2,0.68996,0.0117055,0.822916666666667,0.00520833333333333,0.5625,0.4375,0.4375,0.4375,0.496875,0.664407625,0.167532625,"first","O","O","houston","u"
"O9087_1","H2_first",2,0.48887125,0.02673075,0.880208333333333,0.0572916666666667,0.5625,0.4375,0.4375,0.4375,0.35,0.46929825,0.11929825,"first","O","O","houston","r"
"10328_1","H2_second",2,0.5678125,0.0054865,0.817708333333333,0.0416666666666667,0.53125,0.46875,0.4375,0.4375,0.3734375,0.55148321875,0.17804571875,"second","1","1","houston","r"
"10493_1","H2_second",1,0.683761,NA,0.833333333333333,0.0104166666666667,0.59375,0.40625,0.40625,0.40625,0.51875,0.6331490625,0.1143990625,"second","1","1","houston","r"
"10942_1","H2_second",2,0.76078025,0.03637325,0.802083333333333,0.0260416666666667,0.609375,0.390625,0.390625,0.390625,0.5234375,0.701096359375,0.177658859375,"second","1","1","houston","u"
"12307_1","H2_second",2,0.61979,0.00838100000000003,0.916666666666667,0.0416666666666667,0.515625,0.484375,0.46875,0.46875,0.36875,0.617920265625,0.249170265625,"second","1","1","houston","r"
"O1794_1","H2_second",1,0.600733,NA,0.822916666666667,0.0520833333333333,0.53125,0.46875,0.4375,0.4375,0.359375,0.590443875,0.231068875,"second","O","O","houston","r"
"O5801_1","H2_second",1,0.59868,NA,0.760416666666667,0.0729166666666667,0.5,0.5,0.46875,0.46875,0.265625,0.59868,0.333055,"second","O","O","houston","u"
"O9085_0","H2_second",1,0.670167,NA,0.78125,0.0208333333333333,0.5625,0.4375,0.4375,0.4375,0.525,0.6367905,0.1117905,"second","O","O","houston","u"
"O9087_1","H2_second",2,0.5817785,0.0317295,0.942708333333333,0.00520833333333333,0.53125,0.46875,0.453125,0.453125,0.39375,0.564179328125,0.170429328125,"second","O","O","houston","r"
"LDFHO23801_1_3","H3_first",2,0.6308105,0.0303575,0.921875,0.0104166666666667,0.546875,0.453125,0.453125,0.453125,0.4265625,0.61158390625,0.18502140625,"first","L","L","houston","u"
"LDFHO24761_1_3","H3_first",1,0.624573,NA,0.947916666666667,0.0104166666666667,0.53125,0.46875,0.46875,0.46875,0.390625,0.618135125,0.227510125,"first","L","L","houston","u"
"LDFHO24768_1_3","H3_first",2,0.70164125,0.01547075,0.734375,0.00520833333333333,0.625,0.375,0.375,0.375,0.521875,0.65147890625,0.12960390625,"first","L","L","houston","u"
"LDFHO24839_1_3","H3_first",1,0.587644,NA,0.802083333333333,0.0520833333333333,0.5625,0.4375,0.34375,0.34375,0.396875,0.5567295,0.1598545,"first","L","L","houston","u"
"LDFHO24861_1_3","H3_first",2,0.651158,0.036684,0.895833333333333,0.0104166666666667,0.5625,0.4375,0.4375,0.4375,0.45,0.613369375,0.163369375,"first","L","L","houston","u"
"c_181","A_control",2,0.614584,0.00910299999999997,0.927083333333333,0.0104166666666667,0.5625,0.4375,0.4375,0.4375,0.4921875,0.59162725,0.0994397500000001,"control","c","c","austin","u"
